dataset,noise_mode,noise_axis,noise_level,ctr,train_size,metric,opc,no_propensity,delta,delta_std,lift_pct,n_seeds,initial_reward,delta_se
ml,kmeans_templates,action,medium,0.05,25000,selected,0.04899315643740018,0.04964521580982914,-0.0006520593724289592,0.0001730621293010553,-1.3127350905614037,5,0.04896870281320162,7.739573708960356e-05
ml,kmeans_templates,action,medium,0.05,50000,mean_trials,0.04899517724702533,0.049757083714533704,-0.000761906467508365,0.00012928889819695632,-1.5312025087210652,5,0.04896870281320162,5.781975302088886e-05
ml,kmeans_templates,action,medium,0.05,50000,oracle,0.04937035788394032,0.04993350735506106,-0.00056314947112074,0.00010707842974384682,-1.1277631264775345,5,0.04896870281320162,4.7886929566235376e-05
ml,kmeans_templates,action,medium,0.05,50000,selected,0.04808372726045226,0.049814135638688,-0.00173040837823574,0.0017905530923801398,-3.471000016267592,5,0.04896870281320162,0.0008007596863768906
ml,kmeans_templates,action,medium,0.05,100000,mean_trials,0.04904379207486858,0.04987761857921111,-0.0008338265043425275,6.593224894006953e-05,-1.67168272652327,5,0.04896870281320162,2.9485798107886786e-05
ml,kmeans_templates,action,medium,0.05,100000,oracle,0.04940643071618206,0.049949307675922525,-0.0005428769597404612,0.0001562729681332053,-1.086826736517292,5,0.04896870281320162,6.988739595830109e-05
ml,kmeans_templates,action,medium,0.05,100000,selected,0.04913549703782158,0.0499096407413536,-0.0007741437035320209,0.000146413645839911,-1.551100917800413,5,0.04896870281320162,6.547817298632406e-05
ml,kmeans_templates,combined,brutal,0.05,5000,mean_trials,0.04699468179799689,0.04713325472267296,-0.00013857292467607806,0.00019913053296928454,-0.2887107807342884,5,0.04699268106614134,8.905388162301665e-05
ml,kmeans_templates,combined,brutal,0.05,5000,oracle,0.047531755673019,0.04745647091076522,7.528476225378e-05,0.0002666529881132583,0.1632209231647876,5,0.04699268106614134,0.00011925084156493778
ml,kmeans_templates,combined,brutal,0.05,5000,selected,0.04679489483418434,0.0472878048527239,-0.0004929100185395608,0.0002963492479969595,-1.033694606714409,5,0.04699268106614134,0.00013253141272042895
ml,kmeans_templates,combined,brutal,0.05,25000,mean_trials,0.047042861199653355,0.04719608639376316,-0.00015322519410980174,0.00010750957228461025,-0.32756247704886154,5,0.04699268106614134,4.8079742372063174e-05
ml,kmeans_templates,combined,brutal,0.05,25000,oracle,0.04753159007321374,0.04747575587747306,5.583419574068243e-05,0.00016155941788170347,0.11310830896564324,5,0.04699268106614134,7.22515681577568e-05
ml,kmeans_templates,combined,brutal,0.05,25000,selected,0.04710817647490946,0.04720922910462304,-0.00010105262971357858,0.0001525822170611772,-0.21804720652495874,5,0.04699268106614134,6.823684190128408e-05
ml,kmeans_templates,combined,brutal,0.05,50000,mean_trials,0.04716339860413813,0.047192626028284404,-2.9227424146273384e-05,0.00013449665941062193,-0.06434558335430698,5,0.04699268106614134,6.014873463775748e-05
ml,kmeans_templates,combined,brutal,0.05,50000,oracle,0.0477328926019133,0.04734079287429348,0.0003920997276198185,0.00023214216987384122,0.8296669486188349,5,0.04699268106614134,0.00010381713445644255
ml,kmeans_templates,combined,brutal,0.05,50000,selected,0.04721312304396186,0.047183226804517295,2.9896239444558714e-05,0.0001233945858972034,0.060793691762882185,5,0.04699268106614134,5.5183736424316733e-05
ml,kmeans_templates,combined,brutal,0.05,100000,mean_trials,0.04717439073281925,0.04724709021912512,-7.269948630587025e-05,9.848659056749744e-05,-0.15725087092992665,5,0.04699268106614134,4.4044542276222773e-05
