dataset,noise_mode,noise_axis,noise_level,ctr,train_size,seed,metric,no_propensity,opc,delta,lift_pct,initial_reward
ml,kmeans_templates,action,brutal,0.05,50000,1,selected,0.0481269953902792,0.0472410603243117,-0.0008859350659674997,-1.8408277075747865,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,50000,2,mean_trials,0.04775436173137151,0.047067325029580505,-0.0006870367017910023,-1.4386889006196557,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,50000,2,oracle,0.0480932532357377,0.0474525843770466,-0.0006406688586911014,-1.3321387421032802,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,50000,2,selected,0.0482354168926839,0.0469265757325951,-0.0013088411600888014,-2.713444278922195,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,50000,3,mean_trials,0.04740521221993517,0.04681447276119123,-0.0005907394587439385,-1.2461487483764848,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,50000,3,oracle,0.0480297841806856,0.0473350195538829,-0.0006947646268027005,-1.4465287293172742,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,50000,3,selected,0.0479363819046791,0.0468585757341236,-0.0010778061705555009,-2.2484095122128847,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,50000,4,mean_trials,0.04754193154286,0.046875068501278566,-0.0006668630415814364,-1.4026839464447212,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,50000,4,oracle,0.0479982173486577,0.0474653304902503,-0.000532886858407404,-1.1102221870794258,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,50000,4,selected,0.047865542401349,0.046650952669841,-0.001214589731508002,-2.5375033282267183,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,100000,0,mean_trials,0.047598533309378244,0.046749102314514276,-0.0008494309948639672,-1.7845738845415338,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,100000,0,oracle,0.0478950202850265,0.0475471692207913,-0.00034785106423519674,-0.7262781436673617,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,100000,0,selected,0.0478943503813754,0.046812224320942,-0.001082126060433397,-2.25940231325113,0.0466157293267131
ml,kmeans_templates,action,brutal,0.05,100000,1,mean_trials,0.04805315648181559,0.04736482484541981,-0.0006883316363957767,-1.4324379224833172,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,100000,1,oracle,0.0483543866350364,0.0477332003453156,-0.0006211862897207987,-1.284653436738462,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,100000,1,selected,0.0483022392586774,0.0472862573025648,-0.0010159819561126049,-2.1033847947951725,0.0472428440534382
ml,kmeans_templates,action,brutal,0.05,100000,2,mean_trials,0.04801578931384577,0.04712691708507612,-0.0008888722287696549,-1.8512081993689955,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,100000,2,oracle,0.0482661766271483,0.0481383534541181,-0.0001278231730302004,-0.26482970469698164,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,100000,2,selected,0.0481982167725209,0.0474661642089234,-0.0007320525635974989,-1.5188374438260583,0.0469590268046477
ml,kmeans_templates,action,brutal,0.05,100000,3,mean_trials,0.04764963295667569,0.04695092807898328,-0.0006987048776924062,-1.466338425581761,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,100000,3,oracle,0.0480769862681107,0.0474479196331549,-0.0006290666349558008,-1.308456880902825,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,100000,3,selected,0.0478845482805473,0.0466903280211652,-0.001194220259382102,-2.4939574502935096,0.046602650168757
ml,kmeans_templates,action,brutal,0.05,100000,4,mean_trials,0.04765908734822613,0.046971016942051476,-0.0006880704061746554,-1.4437339119551253,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,100000,4,oracle,0.0479364899525542,0.0475015253658785,-0.00043496458667570403,-0.907376796061239,0.0467027704858169
ml,kmeans_templates,action,brutal,0.05,100000,4,selected,0.0479964170832492,0.0467505653173797,-0.001245851765869499,-2.595718267279377,0.0467027704858169
ml,kmeans_templates,action,extreme,0.05,5000,0,mean_trials,0.04737748964464754,0.047293085354951206,-8.440428969633262e-05,-0.17815272681056493,0.047214446646648
ml,kmeans_templates,action,extreme,0.05,5000,0,oracle,0.047894627463174,0.0481332293815194,0.00023860191834539773,0.49818096722614214,0.047214446646648
ml,kmeans_templates,action,extreme,0.05,5000,0,selected,0.0476746457284528,0.0471837106795001,-0.0004909350489527009,-1.0297612943974221,0.047214446646648
ml,kmeans_templates,action,extreme,0.05,5000,1,mean_trials,0.04770898336015671,0.04763548251703528,-7.350084312143096e-05,-0.15406080353163393,0.0475615721433665
ml,kmeans_templates,action,extreme,0.05,5000,1,oracle,0.0480338741699779,0.047842985191304,-0.00019088897867389903,-0.39740491886704477,0.0475615721433665
ml,kmeans_templates,action,extreme,0.05,5000,1,selected,0.0477287575421842,0.0475571422040488,-0.00017161533813539465,-0.3595638080117957,0.0475615721433665
ml,kmeans_templates,action,extreme,0.05,5000,2,mean_trials,0.04757819938567841,0.04742522681488454,-0.00015297257079386478,-0.32151820112787055,0.0474672099741214
