dataset,noise_mode,noise_axis,noise_level,ctr,train_size,seed,method,reward,initial_reward,metric
ml,kmeans_templates,combined,brutal,0.05,5000,0,opc,0.0453594751934945,0.0453757151109518,selected
ml,kmeans_templates,combined,brutal,0.05,5000,1,no_propensity,0.0481433527240085,0.0477221012838836,selected
ml,kmeans_templates,combined,brutal,0.05,5000,1,opc,0.047376661337454,0.0477221012838836,selected
ml,kmeans_templates,combined,brutal,0.05,5000,2,no_propensity,0.0476720093015707,0.0472252309336187,selected
ml,kmeans_templates,combined,brutal,0.05,5000,2,opc,0.0468451939316132,0.0472252309336187,selected
ml,kmeans_templates,combined,brutal,0.05,5000,3,no_propensity,0.0482261327897067,0.0480277739082754,selected
ml,kmeans_templates,combined,brutal,0.05,5000,3,opc,0.0477834094990103,0.0480277739082754,selected
ml,kmeans_templates,combined,brutal,0.05,5000,4,no_propensity,0.0468827187933461,0.0466125840939772,selected
ml,kmeans_templates,combined,brutal,0.05,5000,4,opc,0.0466097342093497,0.0466125840939772,selected
ml,kmeans_templates,combined,brutal,0.05,25000,0,no_propensity,0.0455723882150269,0.0453757151109518,selected
ml,kmeans_templates,combined,brutal,0.05,25000,0,opc,0.0453772628340828,0.0453757151109518,selected
ml,kmeans_templates,combined,brutal,0.05,25000,1,no_propensity,0.047883123849906,0.0477221012838836,selected
ml,kmeans_templates,combined,brutal,0.05,25000,1,opc,0.0479567414543324,0.0477221012838836,selected
ml,kmeans_templates,combined,brutal,0.05,25000,2,no_propensity,0.0475118750401828,0.0472252309336187,selected
ml,kmeans_templates,combined,brutal,0.05,25000,2,opc,0.0473605750173416,0.0472252309336187,selected
ml,kmeans_templates,combined,brutal,0.05,25000,3,no_propensity,0.0481291847641538,0.0480277739082754,selected
ml,kmeans_templates,combined,brutal,0.05,25000,3,opc,0.0481723004203536,0.0480277739082754,selected
ml,kmeans_templates,combined,brutal,0.05,25000,4,no_propensity,0.0469495736538457,0.0466125840939772,selected
ml,kmeans_templates,combined,brutal,0.05,25000,4,opc,0.0466740026484369,0.0466125840939772,selected
ml,kmeans_templates,combined,brutal,0.05,50000,0,no_propensity,0.045690284851226,0.0453757151109518,selected
ml,kmeans_templates,combined,brutal,0.05,50000,0,opc,0.0455307910739212,0.0453757151109518,selected
ml,kmeans_templates,combined,brutal,0.05,50000,1,no_propensity,0.0478413130157033,0.0477221012838836,selected
ml,kmeans_templates,combined,brutal,0.05,50000,1,opc,0.0479112320370119,0.0477221012838836,selected
ml,kmeans_templates,combined,brutal,0.05,50000,2,no_propensity,0.0473931834238531,0.0472252309336187,selected
ml,kmeans_templates,combined,brutal,0.05,50000,2,opc,0.0475532389670647,0.0472252309336187,selected
ml,kmeans_templates,combined,brutal,0.05,50000,3,no_propensity,0.048062458264683,0.0480277739082754,selected
ml,kmeans_templates,combined,brutal,0.05,50000,3,opc,0.0480457954162776,0.0480277739082754,selected
ml,kmeans_templates,combined,brutal,0.05,50000,4,no_propensity,0.0469288944671211,0.0466125840939772,selected
ml,kmeans_templates,combined,brutal,0.05,50000,4,opc,0.0470245577255339,0.0466125840939772,selected
ml,kmeans_templates,combined,brutal,0.05,100000,0,no_propensity,0.0457093613575408,0.0453757151109518,selected
ml,kmeans_templates,combined,brutal,0.05,100000,0,opc,0.0453615651567189,0.0453757151109518,selected
ml,kmeans_templates,combined,brutal,0.05,100000,1,no_propensity,0.0479590759682003,0.0477221012838836,selected
ml,kmeans_templates,combined,brutal,0.05,100000,1,opc,0.0478150520981678,0.0477221012838836,selected
ml,kmeans_templates,combined,brutal,0.05,100000,2,no_propensity,0.0474336159111885,0.0472252309336187,selected
ml,kmeans_templates,combined,brutal,0.05,100000,2,opc,0.0472741551906822,0.0472252309336187,selected
ml,kmeans_templates,combined,brutal,0.05,100000,3,no_propensity,0.048195212195624,0.0480277739082754,selected
ml,kmeans_templates,combined,brutal,0.05,100000,3,opc,0.0484243806528271,0.0480277739082754,selected
ml,kmeans_templates,combined,brutal,0.05,100000,4,no_propensity,0.0469276507501773,0.0466125840939772,selected
ml,kmeans_templates,combined,brutal,0.05,100000,4,opc,0.0465752919791976,0.0466125840939772,selected
ml,kmeans_templates,combined,extreme,0.05,5000,0,no_propensity,0.0452945889498448,0.0451021576054243,selected
ml,kmeans_templates,combined,extreme,0.05,5000,0,opc,0.0454713966188938,0.0451021576054243,selected
ml,kmeans_templates,combined,extreme,0.05,5000,1,no_propensity,0.0480296757338118,0.0477720022195072,selected
ml,kmeans_templates,combined,extreme,0.05,5000,1,opc,0.0476294394977725,0.0477720022195072,selected
ml,kmeans_templates,combined,extreme,0.05,5000,2,no_propensity,0.0472762706921111,0.0468224388100205,selected
ml,kmeans_templates,combined,extreme,0.05,5000,2,opc,0.0465813275296713,0.0468224388100205,selected
ml,kmeans_templates,combined,extreme,0.05,5000,3,no_propensity,0.048105993544218,0.0476569546621607,selected
ml,kmeans_templates,combined,extreme,0.05,5000,3,opc,0.0475142869893488,0.0476569546621607,selected
ml,kmeans_templates,combined,extreme,0.05,5000,4,no_propensity,0.0467573428374221,0.0463574283847847,selected
ml,kmeans_templates,combined,extreme,0.05,5000,4,opc,0.0464364533611771,0.0463574283847847,selected
ml,kmeans_templates,combined,extreme,0.05,25000,0,no_propensity,0.0461366583839743,0.0451021576054243,selected
ml,kmeans_templates,combined,extreme,0.05,25000,0,opc,0.0451665580970331,0.0451021576054243,selected
ml,kmeans_templates,combined,extreme,0.05,25000,1,no_propensity,0.0483284012687778,0.0477720022195072,selected
ml,kmeans_templates,combined,extreme,0.05,25000,1,opc,0.0479035853900394,0.0477720022195072,selected
ml,kmeans_templates,combined,extreme,0.05,25000,2,no_propensity,0.047311090747696,0.0468224388100205,selected
ml,kmeans_templates,combined,extreme,0.05,25000,2,opc,0.0469745620441977,0.0468224388100205,selected
ml,kmeans_templates,combined,extreme,0.05,25000,3,no_propensity,0.0481807427316985,0.0476569546621607,selected
ml,kmeans_templates,combined,extreme,0.05,25000,3,opc,0.0477245597493653,0.0476569546621607,selected
ml,kmeans_templates,combined,extreme,0.05,25000,4,no_propensity,0.0473242881632865,0.0463574283847847,selected
ml,kmeans_templates,combined,extreme,0.05,25000,4,opc,0.0463620882294158,0.0463574283847847,selected
ml,kmeans_templates,combined,extreme,0.05,50000,0,no_propensity,0.045879829542751,0.0451021576054243,selected
ml,kmeans_templates,combined,extreme,0.05,50000,0,opc,0.0463981141009321,0.0451021576054243,selected
ml,kmeans_templates,combined,extreme,0.05,50000,1,no_propensity,0.0481925051249992,0.0477720022195072,selected
ml,kmeans_templates,combined,extreme,0.05,50000,1,opc,0.0477719278633047,0.0477720022195072,selected
ml,kmeans_templates,combined,extreme,0.05,50000,2,no_propensity,0.0473504531163898,0.0468224388100205,selected
ml,kmeans_templates,combined,extreme,0.05,50000,2,opc,0.0468398262059407,0.0468224388100205,selected
ml,kmeans_templates,combined,extreme,0.05,50000,3,no_propensity,0.0480744695437833,0.0476569546621607,selected
ml,kmeans_templates,combined,extreme,0.05,50000,3,opc,0.0478012774205932,0.0476569546621607,selected
ml,kmeans_templates,combined,extreme,0.05,50000,4,no_propensity,0.0471551885858268,0.0463574283847847,selected
ml,kmeans_templates,combined,extreme,0.05,50000,4,opc,0.0463947345132403,0.0463574283847847,selected
ml,kmeans_templates,combined,extreme,0.05,100000,0,no_propensity,0.0459295379316816,0.0451021576054243,selected
