dataset,noise_mode,noise_axis,noise_level,train_size,metric,reward,initial_reward,ctr,pct_vs_logging,pct_vs_ctr,restored_ctr,reward_over_ctr,action_delta,context_delta,conv_dr,conv_sndr,struggle,struggle_worse_than_logging,struggle_low_restore,n_seeds,reward_std,restored_ctr_std,pct_vs_logging_std,reward_se,restored_ctr_se
ml,kmeans_templates,action,medium,50000,mean_trials,0.04899517724702533,0.04896870281320162,0.05,0.054037732840445565,-2.009645505949339,0.02628883842579834,0.9799035449405066,,,,,True,0.4,1.0,5,0.00012651519806364307,0.1127952287655677,0.23782494754396713,5.657931661143113e-05,0.05044355981148981
ml,kmeans_templates,action,medium,50000,oracle,0.04937035788394032,0.04896870281320162,0.05,0.8202143989672704,-1.2592842321193647,0.39002314084284073,0.9874071576788064,,,,,False,0.0,0.0,5,9.728445074644374e-05,0.0897904008923221,0.17971553957419031,4.350692900455567e-05,0.040155488024437996
ml,kmeans_templates,action,medium,50000,selected,0.04808372726045226,0.04896870281320162,0.05,-1.8064514967291685,-3.8325454790954865,-0.8760705719658203,0.9616745452090452,0.21652952432632447,0.2328557282686233,0.04658047333359714,0.04665700942277902,True,0.6,1.0,5,0.0017462548304934735,1.7480185334052187,3.5908262217964957,0.0007809489014041558,0.7817376533247111
ml,kmeans_templates,action,medium,100000,mean_trials,0.04904379207486858,0.04896870281320162,0.05,0.1533559161291486,-1.9124158502628439,0.07254129329720041,0.9808758414973715,,,,,True,0.0,1.0,5,3.668709278014905e-05,0.03491924337350755,0.0750174339546802,1.6406966670651005e-05,0.01561636038120439
ml,kmeans_templates,action,medium,100000,oracle,0.04940643071618206,0.04896870281320162,0.05,0.8938357258370326,-1.187138567635887,0.42600736482089896,0.9881286143236412,,,,,False,0.0,0.0,5,0.00015100797844095905,0.13895132150767708,0.27726745844539125,6.753282098776142e-05,0.0621409200909189
ml,kmeans_templates,action,medium,100000,selected,0.04913549703782158,0.04896870281320162,0.05,0.34078774422411884,-1.7290059243568467,0.15798757527144228,0.9827099407564315,0.18352574706077568,0.1771767660975456,0.04897157326340668,0.04897313416004174,True,0.0,0.8,5,0.00016078291944256578,0.17476127752128856,0.3845340948033158,7.190430749888993e-05,0.07815561927446144
ml,kmeans_templates,combined,brutal,5000,mean_trials,0.04699468179799689,0.04699268106614134,0.05,0.00915198247444604,-6.010636404006233,-0.008434010395646202,0.9398936359599377,,,,,True,0.6,1.0,5,0.0009313210429263104,0.04666265102250427,0.35481673743525394,0.0004164994321718459,0.02086817193933392
ml,kmeans_templates,combined,brutal,5000,oracle,0.047531755673019,0.04699268106614134,0.05,1.153059234986404,-4.936488653962006,0.18382538890107186,0.9506351134603799,,,,,True,0.0,0.8,5,0.0009156968509010813,0.04428180176114613,0.3955679949633544,0.00040951208107946146,0.01980342378081853
ml,kmeans_templates,combined,brutal,5000,selected,0.04679489483418434,0.04699268106614134,0.05,-0.4158584641878651,-6.410210331631328,-0.0833732416681149,0.9358978966836867,0.19707918465137478,0.19297789037227625,0.04079400897026056,0.0409051410853862,True,1.0,1.0,5,0.0009236960414514129,0.07477505680718664,0.37651930462424027,0.00041308942784656455,0.03344042200845554
ml,kmeans_templates,combined,brutal,25000,mean_trials,0.047042861199653355,0.04699268106614134,0.05,0.10568140096343752,-5.914277600693291,0.020369319622397002,0.940857223993067,,,,,True,0.2,1.0,5,0.00108038757415086,0.014650656120127541,0.08062300856616626,0.0004831640115694835,0.006551972599915701
ml,kmeans_templates,combined,brutal,25000,oracle,0.04753159007321374,0.04699268106614134,0.05,1.15106915191757,-4.936819853572521,0.1866736324750659,0.9506318014642747,,,,,True,0.0,1.0,5,0.0009582412127229833,0.04513080989451737,0.33995209476235994,0.00042853849809808536,0.02018311176075219
ml,kmeans_templates,combined,brutal,25000,selected,0.04710817647490946,0.04699268106614134,0.05,0.242874123352501,-5.783647050181084,0.04870619568576896,0.9421635294981892,0.17349056303501126,0.1682695344090461,0.046841169148683505,0.04689369276165956,True,0.0,1.0,5,0.001129236054085477,0.041313287577398876,0.1849821567457741,0.0005050097159157511,0.0184758638794123
ml,kmeans_templates,combined,brutal,50000,mean_trials,0.04716339860413813,0.04699268106614134,0.05,0.36482528087798305,-5.6732027917237495,0.05895756654619779,0.9432679720827626,,,,,True,0.2,1.0,5,0.001024134318404036,0.056319490247690576,0.3030558072775836,0.0004580067908083677,0.025186841730394517
