dataset,noise_mode,noise_axis,noise_level,train_size,seed,reward,initial_reward,ctr,action_delta,context_delta,conv_dr,conv_sndr,metric,pct_vs_initial,pct_vs_ctr,restored_ctr,reward_over_ctr
ml,kmeans_templates,metadata,brutal,100000,3,0.0477555195206411,0.0476569946382313,0.05,0.2052491307258606,0.172540009021759,0.0501439608633518,0.0501559115946292,selected,0.20673750654591672,-4.4889609587178,0.042050643168578,0.955110390412822
ml,kmeans_templates,metadata,brutal,100000,4,0.0476961556863926,0.0468878473517264,0.05,0.2032354325056076,0.2183310091495514,0.0473458208143711,0.0473772473633289,selected,1.7239186277900993,-4.607688627214806,0.25972644211863755,0.953923113727852
ml,kmeans_templates,metadata,extreme,5000,0,0.0486086923407909,0.0487495462989563,0.05,0.2105204463005066,0.1873106211423874,0.0462828315794467,0.0463087074458599,selected,-0.2889338852542717,-2.7826153184182103,-0.11264228179567114,0.9721738468158179
ml,kmeans_templates,metadata,extreme,5000,1,0.0492871268736505,0.0490334445806698,0.05,0.223080962896347,0.2310526818037033,0.0416714660823345,0.0417558290064334,selected,0.5173658411114527,-1.4257462526990061,0.2624601630773487,0.98574253747301
ml,kmeans_templates,metadata,extreme,5000,2,0.0480150549821983,0.0481010572132755,0.05,0.1873940825462341,0.1997168213129043,0.0500324815511703,0.0500452518463134,selected,-0.17879488738858298,-3.969890035603399,-0.04528953251168741,0.960301099643966
ml,kmeans_templates,metadata,extreme,5000,3,0.0490016590318507,0.0484583491135662,0.05,0.226908192038536,0.1996573656797409,0.0496072694659233,0.0496062487363815,selected,1.12118949205472,-1.9966819362986081,0.35242085161141706,0.980033180637014
ml,kmeans_templates,metadata,extreme,5000,4,0.0480600465071037,0.0480174153978949,0.05,0.2002461552619934,0.2036095857620239,0.0470158010721206,0.047056645154953,selected,0.0887825986791284,-3.8799069857926027,0.021502794465132737,0.961200930142074
ml,kmeans_templates,metadata,extreme,25000,0,0.0489494502709722,0.0487495462989563,0.05,0.1986703872680664,0.191253051161766,0.05060875415802,0.050637986510992,selected,0.4100632461069272,-2.1010994580556024,0.1598651528233698,0.978989005419444
ml,kmeans_templates,metadata,extreme,25000,1,0.04863381595835,0.0490334445806698,0.05,0.211627259850502,0.2053957730531692,0.0453117415308952,0.0452633053064346,selected,-0.8150123364519704,-2.7323680833000044,-0.41345650164243114,0.9726763191669999
ml,kmeans_templates,metadata,extreme,25000,2,0.0482086301979163,0.0481010572132755,0.05,0.2158520817756652,0.1821703761816024,0.0489326603710651,0.0489414446055889,selected,0.22363954323047688,-3.5827396041674118,0.05664888136327307,0.9641726039583259
ml,kmeans_templates,metadata,extreme,25000,3,0.0486184479197894,0.0484583491135662,0.05,0.2107248455286026,0.2091957330703735,0.0521455183625221,0.0521413832902908,selected,0.3303843592525031,-2.7631041604212063,0.10384893728666598,0.972368958395788
ml,kmeans_templates,metadata,extreme,25000,4,0.0479778963804034,0.0480174153978949,0.05,0.1941893100738525,0.1522654891014099,0.0417978502810001,0.0418456383049488,selected,-0.08230142577234309,-4.0442072391932005,-0.019933080005531616,0.959557927608068
ml,kmeans_templates,metadata,extreme,50000,0,0.048960816717244,0.0487495462989563,0.05,0.1834990233182907,0.180522158741951,0.0515324920415878,0.0515083819627761,selected,0.4333792503259027,-2.07836656551201,0.1689550105784462,0.9792163343448799
ml,kmeans_templates,metadata,extreme,50000,1,0.0490061981995504,0.0490334445806698,0.05,0.1825812011957168,0.1369976848363876,0.0503718294203281,0.0503707118332386,selected,-0.055566932636306625,-1.9876036008992097,-0.028189155608151814,0.9801239639910079
ml,kmeans_templates,metadata,extreme,50000,2,0.0489718962139406,0.0481010572132755,0.05,0.2492179274559021,0.2475621253252029,0.0529097504913806,0.0529062263667583,selected,1.8104363003995694,-2.056207572118801,0.4585914893029605,0.979437924278812
ml,kmeans_templates,metadata,extreme,50000,3,0.0485255258926164,0.0484583491135662,0.05,0.2056508213281631,0.2031840980052948,0.0495447516441345,0.0495432056486606,selected,0.1386278737906653,-2.948948214767211,0.04357457297325608,0.9705105178523279
ml,kmeans_templates,metadata,extreme,50000,4,0.0476809408371751,0.0480174153978949,0.05,0.2292102128267288,0.230059802532196,0.0481564179062843,0.0481503494083881,selected,-0.7007344271481789,-4.638118325649809,-0.1697151084309503,0.9536188167435019
ml,kmeans_templates,metadata,extreme,100000,0,0.0488942596275176,0.0487495462989563,0.05,0.1850998103618621,0.1674523800611496,0.0480148419737815,0.0480127595365047,selected,0.2968506161551684,-2.2114807449648,0.11572865787874814,0.977885192550352
ml,kmeans_templates,metadata,extreme,100000,1,0.049010936735658,0.0490334445806698,0.05,0.1912380009889602,0.1594896018505096,0.0490108877420425,0.0490111969411373,selected,-0.0459030467965017,-1.97812652868401,-0.023286657507335596,0.9802187347131599
ml,kmeans_templates,metadata,extreme,100000,2,0.0481147020008753,0.0481010572132755,0.05,0.1868155002593994,0.1549916863441467,0.049415223300457,0.0494227707386016,selected,0.028366918297253404,-3.770595998249401,0.007185465352192588,0.962294040017506
ml,kmeans_templates,metadata,extreme,100000,3,0.0484060750021498,0.0484583491135662,0.05,0.2078268527984619,0.169948324561119,0.0509475991129875,0.0509553216397762,selected,-0.10787431345193603,-3.1878499957004034,-0.03390787880473001,0.968121500042996
ml,kmeans_templates,metadata,extreme,100000,4,0.0482813960328346,0.0480174153978949,0.05,0.2029136270284652,0.2175590842962265,0.0452729165554046,0.0452492274343967,selected,0.5497601916976044,-3.4372079343308046,0.13314974536743998,0.965627920656692
ml,kmeans_templates,metadata,high,5000,0,0.0491139415027216,0.0492097793541848,0.05,0.2306197434663772,0.1860020160675048,0.0470166094601154,0.0470284409821033,selected,-0.19475367034957025,-1.772116994556802,-0.1212798627455911,0.982278830054432
ml,kmeans_templates,metadata,high,5000,1,0.0491867300078446,0.0493404184265193,0.05,0.2251008152961731,0.2360687553882599,0.0426398068666458,0.0426187366247177,selected,-0.3114858438089394,-1.6265399843108097,-0.23300896333969856,0.983734600156892
ml,kmeans_templates,metadata,high,5000,2,0.0492035675750807,0.0490257140623287,0.05,0.2148178815841674,0.1954407691955566,0.050997719168663,0.0509993620216846,selected,0.3627759761456726,-1.5928648498386015,0.18254755187896657,0.984071351501614
ml,kmeans_templates,metadata,high,5000,3,0.0492159318267296,0.0491809027580983,0.05,0.2170960307121276,0.1934210211038589,0.0527265146374702,0.05275185033679,selected,0.07122494030578352,-1.5681363465408076,0.04276545792044627,0.984318636534592
ml,kmeans_templates,metadata,high,5000,4,0.0489248991785511,0.0490068696983157,0.05,0.1972485780715942,0.1904378980398178,0.0479575060307979,0.0479555428028106,selected,-0.167263325058726,-2.150201642897809,-0.08253752767948148,0.9784979835710219
ml,kmeans_templates,metadata,high,25000,0,0.0492935019756022,0.0492097793541848,0.05,0.2342819422483444,0.2348424941301345,0.0524132139980793,0.0524048656225204,selected,0.17013411260149916,-1.4129960487956061,0.10594841056200043,0.985870039512044
ml,kmeans_templates,metadata,high,25000,1,0.0493536400685448,0.0493404184265193,0.05,0.1763747930526733,0.1993362307548523,0.0472859628498554,0.0472835376858711,selected,0.02679677726119507,-1.2927198629104075,0.020045499384895884,0.9870728013708959
ml,kmeans_templates,metadata,high,25000,2,0.0490159872118971,0.0490257140623287,0.05,0.1817079335451126,0.1801487803459167,0.0527438707649707,0.0527321882545948,selected,-0.01984030343593875,-1.9680255762058034,-0.009983568535178126,0.980319744237942
ml,kmeans_templates,metadata,high,25000,3,0.0490869841112516,0.0491809027580983,0.05,0.2157816290855407,0.196547046303749,0.0490779355168342,0.049061395227909,selected,-0.19096568297790065,-1.8260317774968087,-0.1146611684696287,0.9817396822250319
ml,kmeans_templates,metadata,high,25000,4,0.0494419868998537,0.0490068696983157,0.05,0.2147250026464462,0.2539461851119995,0.0463625788688659,0.0463263131678104,selected,0.8878698113480092,-1.116026200292608,0.43812700186477155,0.9888397379970739
ml,kmeans_templates,metadata,high,50000,0,0.0491857807283871,0.0492097793541848,0.05,0.2264465391635894,0.2371828258037567,0.0515034683048725,0.0515235662460327,selected,-0.048768001223849784,-1.6284385432258075,-0.03036952517602897,0.9837156145677419
ml,kmeans_templates,metadata,high,50000,1,0.0492043273645197,0.0493404184265193,0.05,0.2200274318456649,0.1931434422731399,0.0504603758454322,0.0504704713821411,selected,-0.2758206483438718,-1.591345270960609,-0.2063293874045542,0.9840865472903939
ml,kmeans_templates,metadata,high,50000,2,0.0490479404395665,0.0490257140623287,0.05,0.2169072479009628,0.2150165289640426,0.0514666996896266,0.051446434110403,selected,0.04533616218121638,-1.9041191208670065,0.02281299193429945,0.9809588087913299
ml,kmeans_templates,metadata,high,50000,3,0.049399321356382,0.0491809027580983,0.05,0.1991858035326004,0.2119792699813842,0.0481888130307197,0.0481887571513652,selected,0.4441126250935679,-1.201357287235999,0.2666577142618635,0.9879864271276401
