scope,metric,train_size,n_cells,mean_reward,mean_logging_reward,mean_restored_ctr,mean_pct_vs_logging,frac_struggle,frac_worse_than_logging,frac_low_restore
axis=metadata,selected,25000,5,0.04883968546955556,0.04886385992243565,-0.07950675804686377,-0.047790195174000676,1.0,0.4,1.0
level=brutal,selected,25000,4,0.04747292903741762,0.04736142250415731,0.03478254436280228,0.2385406027328189,1.0,0.5,1.0
level=extreme,selected,25000,4,0.04773011421338415,0.04768088014711353,0.01835903434497417,0.1038933439993072,1.0,0.25,1.0
level=high,selected,25000,4,0.04839670213852957,0.04831200788622676,0.03358757103668532,0.18103600292468447,1.0,0.5,1.0
level=low,selected,25000,4,0.0491712629276857,0.04941830073200257,-0.501367462500244,-0.49898830570736213,1.0,0.5,1.0
level=medium,selected,25000,4,0.04904811778952768,0.04895070870824765,0.05843235888731019,0.20209584850037765,1.0,0.25,1.0
all,selected,50000,20,0.04840388219056629,0.04834466399554957,0.017332550860197082,0.12747432734179553,1.0,0.25,1.0
axis=action,selected,50000,5,0.04806838259212797,0.04817510725013254,-0.12901724014149937,-0.21447395682419818,1.0,0.4,1.0
axis=combined,selected,50000,5,0.04780335288553912,0.047614204771747035,0.061548367104453806,0.4058865237328101,1.0,0.2,1.0
axis=context,selected,50000,5,0.04882154978348276,0.04872548403788305,0.0831335530534519,0.19838515088508465,1.0,0.2,1.0
axis=metadata,selected,50000,5,0.04892224350111533,0.04886385992243565,0.05366552342438202,0.12009959157348557,1.0,0.2,1.0
level=brutal,selected,50000,4,0.047469417023570805,0.04736142250415731,0.030634042229472982,0.23149003808906704,1.0,0.25,1.0
level=extreme,selected,50000,4,0.0478136744741487,0.04768088014711353,0.0626612660856182,0.2845152678344037,1.0,0.25,1.0
level=high,selected,50000,4,0.048488586346455496,0.04831200788622676,0.1158677367864344,0.3678231596721959,1.0,0.0,1.0
level=low,selected,50000,4,0.049416748188991264,0.04941830073200257,0.0029461238620150185,-0.003226988321798298,1.0,0.5,1.0
level=medium,selected,50000,4,0.04883098491966521,0.04895070870824765,-0.12544641466255518,-0.24322984056489075,1.0,0.25,1.0
all,selected,100000,20,0.04851765733549111,0.04834466399554957,0.09401464295514961,0.3636219188317734,0.9,0.05,0.9
axis=action,selected,100000,5,0.04828292491262222,0.04817510725013254,0.06964583840792149,0.22522662356757772,1.0,0.0,1.0
axis=combined,selected,100000,5,0.04795210024811196,0.047614204771747035,0.15229540853104556,0.7162894886539963,0.6,0.0,0.6
axis=context,selected,100000,5,0.0488927531383932,0.04872548403788305,0.1419118931931307,0.34602570188660714,1.0,0.0,1.0
axis=metadata,selected,100000,5,0.04894285104283708,0.04886385992243565,0.012205431688500653,0.16694586121891247,1.0,0.2,1.0
level=brutal,selected,100000,4,0.04758842242947789,0.04736142250415731,0.0930179719865517,0.47952488475619404,1.0,0.0,1.0
level=extreme,selected,100000,4,0.04775620498227105,0.04768088014711353,0.032098904058662246,0.15936591869270827,1.0,0.0,1.0
level=high,selected,100000,4,0.048631264854323605,0.04831200788622676,0.14550048466321694,0.6785565719577527,0.75,0.0,0.75
level=low,selected,100000,4,0.04945104198497177,0.04941830073200257,0.02987527746747346,0.06663707738305073,1.0,0.25,1.0
level=medium,selected,100000,4,0.049161352426411245,0.04895070870824765,0.16958057659984363,0.4340251413691615,0.75,0.0,0.75
